Index	Loss
191	1.694127
192	1.191070
193	1.471946
194	1.571112
195	1.616434
196	1.861168
197	1.769763
198	1.732891
199	1.619375
200	1.516317
201	2.019330
202	1.065580
203	1.938195
204	2.097158
205	1.862882
206	1.722687
207	1.885552
208	1.663402
209	1.631607
210	1.898918
211	1.158197
212	1.748941
213	1.960479
214	1.829294
215	1.245971
216	1.648858
217	0.920829
218	1.553193
219	1.627602
220	1.191728
221	1.977386
222	1.874097
223	1.473778
224	2.060248
225	1.935202
226	1.687463
227	1.642800
228	1.620563
229	1.453474
230	1.379316
231	1.458531
232	1.831503
233	1.723626
234	1.731205
235	1.368041
236	1.818541
237	1.966025
238	1.505937
239	1.492415
240	1.552162
241	1.500628
242	1.583031
243	2.028827
244	1.623192
245	1.880542
246	1.679178
247	1.840371
248	1.497835
249	1.107726
250	1.873124
251	1.653594
252	1.563229
253	1.182002
254	1.593626
255	1.892531
256	1.386500
257	1.861264
258	1.934910
259	1.617253
260	2.164366
261	1.419081
262	1.539980
263	1.935017
264	1.632905
265	2.094910
266	1.453195
267	1.858889
268	1.295324
269	1.727293
270	1.519059
271	1.322085
272	1.690134
273	1.466613
274	1.955039
275	2.023942
276	1.573062
277	1.204127
278	1.660233
279	1.533219
280	2.033316
281	1.865794
282	1.453498
283	1.495759
284	1.396825
285	1.551762
286	1.777427
287	1.655707
288	1.227077
289	2.066933
290	1.698305
291	1.470160
292	1.382904
293	1.312071
294	1.363886
295	1.782522
296	1.444504
297	1.244596
298	2.187115
299	1.768153
300	1.447433
301	1.512066
302	1.508740
303	2.050437
304	1.444682
305	1.689080
306	1.528375
307	1.390504
308	2.078557
309	1.409913
310	1.589183
311	1.171532
312	1.302287
313	1.890602
314	1.512788
315	2.389327
316	1.919449
317	1.263132
318	2.029016
319	1.156046
320	1.403828
321	1.366822
322	1.099735
323	1.907019
324	1.655298
325	1.542346
326	1.598804
327	1.879299
328	1.665003
329	1.830535
330	1.772652
331	1.424090
332	1.571344
333	1.390277
334	1.474734
335	1.583016
336	1.760357
337	1.902798
338	1.427984
339	1.349381
340	1.908243
341	1.981576
342	1.817392
343	1.820245
344	1.791590
345	1.451798
346	1.423153
347	1.334726
348	1.736851
349	1.861651
350	1.539410
351	1.762264
352	1.404483
353	1.899578
354	1.942602
355	1.454391
356	1.499592
357	1.381741
358	1.840348
359	1.333724
360	1.223236
361	1.390551
362	1.651754
363	1.489212
364	1.496639
365	1.835922
366	1.539456
367	1.426721
368	1.657715
369	1.559627
370	1.710658
371	2.438233
372	1.387593
373	1.604755
374	1.429314
375	1.607540
376	1.379640
377	2.086087
378	1.806110
379	2.029912
380	1.533410
381	1.957724
382	1.829058
383	1.083350
384	1.603269
385	1.345342
386	1.405564
387	1.976989
388	1.400232
389	1.603542
390	1.742089
391	1.734853
392	1.623558
393	1.580801
394	2.188961
395	1.601264
396	1.277431
397	1.917628
398	1.299893
399	1.043617
400	1.693487
401	1.663834
402	1.267111
403	1.958657
404	1.176948
405	1.783487
406	2.544881
407	1.392944
408	1.935748
409	1.463520
410	1.588837
411	1.839257
412	2.045789
413	1.481022
414	1.734887
415	1.085832
416	2.058449
417	1.653217
418	1.498864
419	1.340457
420	1.627423
421	1.466651
422	1.384908
423	1.777443
424	1.650375
425	1.327688
426	1.442352
427	1.251963
428	1.519342
429	1.676816
430	1.505316
431	1.580729
432	1.716916
433	1.268793
434	1.332863
435	1.782973
