Index	Loss
442	1.755788
443	1.308253
444	1.931862
445	1.604478
446	1.537199
447	2.131878
448	1.224953
449	2.009023
450	1.265833
451	1.559457
452	1.693074
453	1.670153
454	1.271396
455	1.919684
456	1.510973
457	2.042812
458	1.753133
459	1.646723
460	1.547396
461	1.795152
462	2.016325
463	1.559546
464	1.382187
465	1.634995
466	1.567171
467	1.317442
468	1.176416
469	1.473439
470	1.306084
471	2.052318
472	1.841871
473	1.866831
474	1.662358
475	1.944016
476	1.537696
477	1.459160
478	1.862736
479	1.934858
480	2.107224
481	1.892156
482	1.725937
483	1.648752
484	1.618368
485	1.570765
486	1.753381
487	2.192910
488	1.473161
489	1.588034
490	1.972201
491	1.812123
492	1.322258
493	1.827078
494	1.419566
495	1.386112
496	1.777031
497	2.105011
498	1.675680
499	1.987657
500	1.485858
501	1.694873
502	1.380317
503	2.155722
504	1.810969
505	1.591147
506	1.691945
507	1.945368
508	1.784447
509	1.474593
510	1.965657
511	1.557318
512	1.844478
513	1.947044
514	1.355456
515	1.718997
516	1.711375
517	2.128804
518	1.342869
519	1.545405
520	1.438465
521	1.392051
522	1.646549
523	1.615524
524	1.626546
525	1.738583
526	1.835768
527	1.528871
528	1.784445
529	2.244804
530	1.821677
531	2.002050
532	1.864462
533	1.377888
534	1.735452
535	1.951935
536	1.393926
537	1.751380
538	1.593646
539	1.681635
540	1.496395
541	1.749885
542	1.302215
543	1.940428
544	1.531247
545	1.713066
546	1.757922
547	1.761380
548	1.585667
549	2.023657
550	1.874720
551	1.525856
552	1.447507
553	1.590438
554	1.431939
555	1.595463
556	1.669543
557	1.371955
558	1.533113
559	1.662182
560	1.711283
561	1.333642
562	1.548412
563	1.527829
564	1.813793
565	1.758175
566	1.961588
567	1.616072
568	1.231980
569	1.777377
570	1.936208
571	1.707111
572	1.606786
573	1.871588
574	1.623418
575	1.488512
576	1.651365
577	1.806044
578	1.351238
579	1.850989
580	1.794879
581	1.663536
582	1.747162
583	1.466640
584	1.714924
585	1.536897
586	2.487302
587	2.038464
588	1.555993
589	2.011849
590	1.529751
591	1.381990
592	1.856959
593	1.665985
594	1.991125
595	1.770894
596	1.806133
597	1.823953
598	1.553439
599	1.530096
600	1.903917
601	1.534319
602	1.873248
603	1.687759
604	1.470543
605	1.844465
606	1.771394
607	1.581761
608	1.764278
609	1.904199
610	1.793491
611	1.587569
612	1.432394
613	1.819021
614	1.569977
615	2.084977
616	2.179882
617	1.593445
618	1.864601
619	2.125630
620	1.387231
621	1.528711
622	1.647170
623	1.714270
624	1.875154
625	1.538417
626	1.949899
627	1.831303
628	1.401230
629	1.449089
630	2.141263
631	1.823132
632	1.624253
633	1.772573
634	2.238744
635	1.795803
636	1.545694
637	1.510756
638	1.930869
639	1.355522
640	1.736854
641	1.462652
642	1.437520
643	1.705843
644	1.850600
645	2.068065
646	1.509661
647	1.759673
648	1.878377
649	1.780254
650	1.716997
651	1.892658
652	1.751958
653	1.447874
654	1.495173
655	1.605298
656	1.742253
657	1.488782
658	1.456208
659	1.561369
660	1.613665
661	2.060027
662	2.079294
663	2.082855
664	1.963319
665	1.598506
666	1.614074
667	1.888888
668	1.649160
669	2.100225
670	1.863758
671	1.782207
672	1.549250
673	2.289664
674	2.064799
675	1.804395
676	1.522252
677	1.812433
678	1.790296
679	1.406393
680	1.765440
681	1.499278
682	2.005495
683	1.488405
684	1.677635
685	1.786176
686	1.383934
687	1.585566
688	1.698668
689	1.850822
690	1.697674
691	1.796873
692	1.425936
693	2.255466
694	1.824831
695	1.714606
696	2.341447
697	1.676242
698	2.059625
699	1.939628
700	1.743096
701	1.910256
702	1.777932
703	1.640864
704	1.713061
705	2.236326
706	1.700364
707	1.511341
708	1.845190
709	1.415725
710	1.877136
711	1.637598
712	1.400125
713	1.572349
714	1.445588
715	1.426840
716	1.420186
717	1.961033
718	1.540180
719	1.560315
720	1.561769
721	1.499104
722	1.662642
