Index	Loss
393	1.613416
394	2.104905
395	1.645458
396	1.416422
397	1.847639
398	1.480072
399	1.106007
400	1.669244
401	1.687593
402	1.329576
403	1.820972
404	1.462907
405	1.720649
406	2.333077
407	1.503814
408	1.889460
409	1.506931
410	1.641012
411	1.760466
412	1.926961
413	1.613845
414	1.725738
415	1.386093
416	1.930440
417	1.648176
418	1.521054
419	1.418907
420	1.647834
421	1.527495
422	1.413854
423	1.735224
424	1.641076
425	1.468255
426	1.405887
427	1.387303
428	1.588072
429	1.682178
430	1.559669
431	1.622725
432	1.704128
433	1.365274
434	1.422081
435	1.715350
436	1.795651
437	1.776453
438	1.709396
439	1.691261
440	1.422744
441	1.443747
442	1.684379
443	1.312036
444	1.842336
445	1.534264
446	1.461384
447	1.929624
448	1.247922
449	1.904721
450	1.331894
451	1.548076
452	1.630154
453	1.650786
454	1.328459
455	1.821681
456	1.529542
457	1.904854
458	1.685716
459	1.591702
460	1.519546
461	1.696161
462	1.897895
463	1.545310
464	1.324533
465	1.585361
466	1.522789
467	1.382102
468	1.165369
469	1.420567
470	1.317294
471	1.918637
472	1.684529
473	1.752352
474	1.599529
475	1.836830
476	1.512183
477	1.440777
478	1.798408
479	1.811111
480	1.935135
481	1.761277
482	1.712369
483	1.582893
484	1.546495
485	1.476873
486	1.706397
487	2.035436
488	1.464414
489	1.541202
490	1.797454
491	1.694765
492	1.344223
493	1.670854
494	1.382372
495	1.354122
496	1.694950
497	1.957939
498	1.660636
499	1.831850
500	1.424969
501	1.612846
502	1.404648
503	2.003826
504	1.722547
505	1.566247
506	1.618738
507	1.834214
508	1.726630
509	1.486163
510	1.816281
511	1.509563
512	1.794929
513	1.810719
514	1.327137
515	1.671679
516	1.642920
517	1.923628
518	1.351917
519	1.508963
520	1.420887
521	1.340356
522	1.559861
523	1.587047
524	1.566296
525	1.663834
526	1.748961
527	1.506753
528	1.721466
529	2.107328
530	1.732641
531	1.864762
532	1.750815
533	1.428601
534	1.678950
535	1.856012
536	1.395742
537	1.680335
538	1.531046
539	1.610957
540	1.501577
541	1.673075
542	1.355603
543	1.762593
544	1.504235
545	1.673173
546	1.619299
547	1.655747
548	1.561293
549	1.858660
550	1.789943
551	1.501143
552	1.425009
553	1.549397
554	1.371843
555	1.565349
556	1.609910
557	1.304551
558	1.503479
559	1.590579
560	1.550134
561	1.300388
562	1.519315
563	1.531241
564	1.694362
565	1.724956
566	1.776199
567	1.539714
568	1.242223
569	1.684091
570	1.757796
571	1.640934
572	1.582261
573	1.786346
574	1.570732
575	1.545032
576	1.590136
577	1.683639
578	1.390976
579	1.756306
580	1.727900
581	1.609048
582	1.610497
583	1.451343
584	1.600919
585	1.453735
586	2.303023
587	1.922502
588	1.482073
589	1.905618
590	1.535585
591	1.402877
592	1.780550
593	1.598761
594	1.853146
595	1.673345
596	1.723298
597	1.736964
598	1.547224
599	1.493651
600	1.797611
601	1.470764
602	1.729379
603	1.651076
604	1.500268
605	1.780367
606	1.673829
607	1.513225
608	1.708924
609	1.795774
610	1.729248
611	1.564648
612	1.440686
613	1.730108
614	1.536483
615	1.950361
616	2.059674
617	1.537302
618	1.776165
619	1.901445
620	1.397536
621	1.456348
622	1.660656
623	1.624507
624	1.780559
625	1.465628
626	1.849533
627	1.805173
628	1.435999
629	1.448210
630	2.016530
631	1.751424
632	1.565774
633	1.619777
634	2.078884
635	1.698087
636	1.507683
637	1.532942
638	1.754458
639	1.389055
640	1.606111
641	1.474800
642	1.425000
643	1.624261
644	1.788804
645	1.924601
646	1.480173
647	1.677980
648	1.784322
649	1.681571
650	1.621550
651	1.788486
652	1.654658
653	1.466938
654	1.423449
655	1.561187
656	1.648804
657	1.440357
658	1.470130
659	1.534317
660	1.475182
661	1.943574
662	1.948901
663	1.919930
664	1.917608
665	1.568842
666	1.517403
667	1.790758
668	1.507159
669	1.927288
670	1.755611
671	1.726998
672	1.478679
673	2.119556
674	1.952880
675	1.683236
676	1.476446
677	1.688919
678	1.692213
679	1.412692
680	1.725554
681	1.453293
682	1.887341
683	1.434364
684	1.571316
685	1.684951
686	1.347486
687	1.555152
688	1.600993
689	1.775766
690	1.622464
691	1.738043
692	1.396717
693	2.115958
694	1.764362
695	1.615498
696	2.244255
697	1.599538
698	1.939516
699	1.838070
700	1.680969
701	1.779741
702	1.686716
703	1.525465
704	1.649943
705	2.078887
706	1.667751
707	1.502491
708	1.770504
709	1.382420
710	1.757732
711	1.502828
712	1.395665
713	1.514956
714	1.417495
715	1.348045
716	1.367602
717	1.821419
718	1.510900
719	1.529561
720	1.522351
721	1.429749
722	1.626981
723	1.685769
724	1.567210
725	1.751715
726	1.914580
727	1.855784
728	1.644623
729	1.654616
730	1.407120
731	1.603699
732	1.693748
733	1.886474
734	1.564182
735	1.788055
736	1.488333
737	1.597899
738	1.722381
739	1.499331
740	1.429674
741	1.745954
742	1.432439
743	1.711503
744	1.853073
